rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,river_level_m,cumulative_rain_7d,flood
7.04,27.02,53.91,57.53,2.43,14.04,0
45.15,18.05,42.8,46.4,13.45,15.27,0
19.75,27.94,96.71,54.36,6.22,12.35,0
13.69,34.57,58.82,14.07,6.0,10.71,0
2.54,32.69,66.56,11.85,1.68,14.03,0
2.54,32.14,46.88,0.39,0.79,8.24,0
0.9,28.6,90.22,42.41,-1.14,10.81,0
30.17,23.6,41.66,56.25,8.55,9.05,0
13.79,32.58,90.04,11.22,4.85,18.54,0
18.47,25.83,48.42,38.22,4.37,20.46,0
0.31,40.92,93.19,44.79,2.23,19.83,0
52.55,32.85,83.79,55.66,15.78,16.7,1
26.8,27.1,49.88,38.81,8.09,13.32,0
3.58,26.94,73.95,58.22,0.41,15.58,0
3.01,29.54,58.76,20.68,1.4,13.51,0
3.04,28.8,50.69,21.0,-0.25,6.51,0
5.44,35.58,91.55,32.58,3.8,7.33,0
11.16,30.93,64.21,23.01,4.67,8.36,0
8.48,26.34,63.91,0.09,3.53,3.66,0
5.16,39.45,50.19,43.91,0.16,9.12,0
14.2,30.25,62.98,45.1,4.46,6.13,0
2.25,33.84,92.3,44.82,1.89,6.57,0
5.18,26.96,61.79,20.7,2.15,9.78,0
6.84,31.82,97.1,31.34,1.05,10.32,0
9.13,31.56,96.78,21.6,2.09,9.56,0
23.07,20.55,48.69,0.96,6.47,10.17,0
3.34,40.08,50.64,33.75,0.4,8.78,0
10.83,36.45,91.76,7.43,4.78,11.48,0
13.46,28.01,63.57,4.8,2.12,9.51,0
0.71,24.49,40.26,45.33,0.87,10.21,0
14.03,31.74,56.43,0.57,2.92,13.67,0
2.8,30.43,75.86,57.54,-0.12,16.32,0
1.01,31.78,87.96,30.92,-1.71,18.83,0
44.61,30.96,48.0,58.98,12.83,20.56,0
50.56,32.53,46.63,3.48,16.68,21.28,0
24.78,37.24,95.33,35.01,7.7,23.57,0
5.45,32.84,85.07,20.96,0.44,21.06,0
1.54,24.75,75.39,50.61,1.48,13.89,0
17.29,36.81,86.15,21.67,6.42,7.87,0
8.7,38.2,65.73,15.63,2.71,7.04,0
1.95,45.76,85.51,51.45,2.62,15.5,0
10.25,24.38,62.31,22.48,3.9,12.4,0
0.52,31.21,54.65,1.01,0.84,7.99,0
36.01,19.59,83.74,23.42,10.0,9.28,0
4.49,32.77,65.18,39.27,1.97,10.78,0
16.29,27.26,98.88,15.26,5.1,10.61,0
5.6,39.62,60.97,25.92,2.2,11.84,0
11.01,26.13,95.3,3.4,2.62,15.7,0
11.87,21.55,95.98,35.29,3.69,18.88,0
3.07,27.64,54.51,45.38,0.1,23.38,0
52.39,20.12,87.89,24.8,13.57,26.27,1
22.38,33.76,65.98,25.21,7.71,21.7,0
42.08,19.67,95.05,5.3,11.12,27.26,0
33.78,30.14,67.01,12.12,10.24,28.82,0
13.67,19.61,84.66,9.28,4.43,22.41,0
38.24,28.4,68.02,28.9,11.8,20.74,0
1.39,38.22,53.67,31.76,0.13,13.94,0
3.27,31.8,51.96,56.94,1.25,10.18,0
0.69,25.68,65.53,4.39,0.68,9.28,0
5.9,29.84,85.33,35.99,2.51,6.61,0
7.38,30.09,76.3,31.59,3.95,8.04,0
4.75,32.36,81.32,30.97,1.66,10.36,0
26.47,23.17,56.94,52.39,8.0,9.52,0
6.62,32.96,68.89,12.33,1.08,9.11,0
4.95,16.48,42.66,2.45,1.92,11.52,0
11.74,26.85,89.05,40.34,4.19,13.67,0
2.28,27.56,99.39,20.71,0.49,14.36,0
24.31,33.17,64.41,1.06,7.84,22.36,0
1.16,30.11,40.66,15.08,0.06,16.22,0
65.01,22.97,50.19,18.56,20.17,15.6,0
22.19,25.08,79.15,37.01,7.57,21.69,0
3.32,30.99,76.72,10.36,1.9,21.42,0
0.08,29.6,87.27,24.78,0.14,19.19,0
25.35,27.1,55.23,28.95,6.56,13.68,0
18.41,27.6,85.82,27.55,4.91,13.42,0
19.58,33.48,81.28,58.44,6.47,18.03,0
22.13,27.41,59.37,2.73,9.09,16.08,0
1.15,29.56,72.73,57.06,0.01,13.73,0
6.66,40.85,48.84,34.92,2.45,8.85,0
1.85,22.88,67.15,47.74,-0.0,11.92,0
29.83,20.74,92.87,25.82,7.97,9.46,0
14.64,33.92,65.27,27.23,3.72,8.6,0
6.03,26.61,90.37,52.76,-0.27,7.56,0
0.99,28.41,75.42,53.76,1.65,12.12,0
5.59,26.09,51.51,14.32,-0.55,7.83,0
5.9,28.7,74.87,11.95,1.51,16.04,0
19.62,37.99,70.36,29.77,4.71,15.84,0
15.22,34.01,63.92,54.02,3.68,14.25,0
32.73,34.31,47.18,19.34,11.2,14.99,0
9.59,22.92,65.0,39.12,3.08,15.72,0
1.91,24.24,44.37,42.49,-0.39,15.96,0
18.74,15.8,45.93,46.72,5.03,20.26,0
21.46,25.95,64.95,33.84,5.67,15.5,0
12.36,34.78,58.32,24.15,3.66,14.39,0
22.11,32.58,95.53,58.02,6.81,16.75,0
10.21,28.89,62.54,36.68,4.96,13.37,0
11.1,29.89,85.47,43.71,1.41,10.26,0
8.37,26.56,71.81,20.7,2.48,9.73,0
0.39,31.02,82.25,40.2,-0.2,7.81,0
1.71,33.83,55.61,15.47,1.46,7.84,0
0.48,21.92,96.51,14.71,0.5,6.39,0
15.18,31.5,71.81,42.88,5.14,9.46,0
5.66,34.66,89.88,31.28,2.04,9.43,0
10.66,27.92,61.9,41.0,2.26,10.08,0
35.72,33.5,46.01,16.17,11.93,11.16,0
4.3,44.07,80.42,35.92,2.09,10.93,0
7.92,29.48,40.47,26.64,3.29,10.24,0
21.13,31.97,68.52,35.82,7.6,10.31,0
3.9,26.31,51.57,17.45,1.59,9.73,0
1.2,30.91,77.64,42.93,1.84,11.36,0
5.13,32.3,98.77,48.36,1.92,14.57,0
2.64,30.97,67.86,15.59,0.57,13.76,0
39.82,24.9,89.05,18.04,11.94,20.23,0
24.76,31.03,70.47,39.67,7.41,19.22,0
15.05,37.31,69.75,41.74,4.0,19.64,0
30.77,32.24,95.83,42.25,10.86,24.27,0
24.42,34.81,93.4,40.96,7.62,22.73,0
3.1,28.81,87.15,23.57,1.02,23.14,0
33.46,33.75,57.78,23.69,10.43,24.1,0
11.63,31.4,72.7,15.29,6.47,22.04,0
24.71,25.25,53.43,9.41,6.28,16.69,0
33.96,31.59,66.64,41.55,9.34,16.1,0
5.74,25.04,69.05,5.59,0.34,15.22,0
1.75,26.84,89.9,56.27,0.29,15.83,0
3.88,30.95,93.76,49.6,1.41,14.07,0
8.36,31.49,64.88,51.45,2.04,12.7,0
25.56,24.05,41.06,54.4,7.13,11.0,0
29.57,35.27,91.71,24.52,9.01,11.67,0
0.1,32.86,50.46,50.8,-0.47,14.1,0
10.72,26.48,77.31,9.48,3.53,11.21,0
8.1,22.31,41.5,1.3,3.55,9.4,0
3.77,29.28,63.97,47.09,1.81,11.86,0
1.92,27.77,99.16,4.49,1.46,9.79,0
6.18,30.57,46.04,59.31,2.94,12.16,0
42.95,28.18,65.42,40.49,13.17,15.53,0
5.86,19.96,58.43,45.21,1.6,11.35,0
10.97,28.06,94.31,14.75,2.52,21.54,0
18.21,28.47,92.16,40.43,5.07,25.13,0
6.78,33.17,54.26,2.59,1.51,23.32,0
53.52,26.51,44.87,50.27,16.79,23.93,0
49.23,38.39,77.63,10.18,15.12,20.4,0
4.35,20.44,60.18,41.84,2.0,23.65,0
10.31,36.56,80.33,13.47,1.93,20.55,0
5.37,28.88,41.93,4.11,3.04,14.12,0
5.03,34.3,48.0,28.89,1.08,8.47,0
0.56,30.4,81.18,10.16,-0.93,8.63,0
14.11,35.7,52.74,43.77,3.79,3.9,0
10.48,28.06,91.46,14.25,5.63,10.63,0
0.79,24.51,43.52,20.55,-0.15,10.88,0
4.9,37.1,52.93,34.05,1.14,9.57,0
35.83,29.43,99.91,17.1,10.56,10.72,0
4.11,31.11,65.98,22.68,1.08,19.85,0
2.35,36.17,82.18,48.94,-0.08,17.03,0
10.08,24.84,50.96,10.75,3.17,19.45,0
63.66,32.98,76.59,4.93,20.17,15.87,0
4.16,27.05,83.57,19.7,1.56,13.93,0
16.73,29.34,58.87,25.46,3.91,21.52,0
21.51,30.36,89.73,32.56,6.11,19.45,0
4.07,22.5,76.21,22.35,0.67,12.65,0
19.54,26.11,63.35,47.39,5.92,12.14,0
6.88,36.76,73.46,2.36,3.39,13.0,0
15.01,34.43,74.61,25.91,4.35,12.69,0
15.06,29.69,49.93,22.94,4.43,13.78,0
11.51,31.22,64.16,38.85,5.23,11.88,0
1.42,28.53,60.61,57.98,1.3,11.69,0
27.05,36.78,64.05,30.62,8.69,6.75,0
5.8,29.0,85.67,59.21,3.7,10.24,0
3.1,31.16,68.95,18.13,1.42,7.26,0
